Title,Release Year,Genre,IMDB Rating,Streaming Platform,Page URL
Kida,2023,"['Drama', ' Kids & Family', ' Mystery & Thriller']",8.1,"['Amazon Prime Video', 'aha']",https://www.justwatch.com/in/movie/kida
Maa Oori Polimera,2021,"['Mystery & Thriller', ' Horror']",7.3,['Hotstar'],https://www.justwatch.com/in/movie/maa-oori-polimera
Avatar: The Way of Water,2022,"['Science-Fiction', ' Action & Adventure', ' Fantasy']",7.6,['Hotstar'],https://www.justwatch.com/in/movie/avatar-2
Dune,2021,"['Action & Adventure', ' Science-Fiction', ' Drama']",8.0,,https://www.justwatch.com/in/movie/dune-2021
Three of Us,2023,['Drama'],8.1,,https://www.justwatch.com/in/movie/three-of-us
Poor Things,2023,"['Drama', ' Comedy', ' Science-Fiction', ' Romance']",8.5,,https://www.justwatch.com/in/movie/poor-things
Spider-Man: No Way Home,2021,"['Science-Fiction', ' Action & Adventure', ' Fantasy']",8.2,['Sony Liv'],https://www.justwatch.com/in/movie/spider-man-no-way-home
RRR,2022,"['Action & Adventure', ' Drama']",7.8,"['Netflix', 'Hotstar', 'Zee5', 'VI movies and tv']",https://www.justwatch.com/in/movie/roudram-ranam-rudhiram
Falimy,2023,['Drama'],7.2,,https://www.justwatch.com/in/movie/falimy
Kantara,2022,"['Mystery & Thriller', ' Action & Adventure', ' Drama']",8.2,"['Netflix', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/kantara
Vikram,2022,"['Mystery & Thriller', ' Action & Adventure', ' Crime']",8.3,"['Hotstar', 'Zee5']",https://www.justwatch.com/in/movie/vikram-2021
Tantiram,2023,"['Mystery & Thriller', ' Fantasy', ' Horror']",8.4,['Amazon Prime Video'],https://www.justwatch.com/in/movie/tantiram
2018 Everyone Is A Hero,2023,"['Mystery & Thriller', ' Action & Adventure', ' Drama']",8.4,['Sony Liv'],https://www.justwatch.com/in/movie/2018-2023
Everything Everywhere All at Once,2022,"['Science-Fiction', ' Action & Adventure', ' Fantasy', ' Comedy']",7.8,['Sony Liv'],https://www.justwatch.com/in/movie/everything-everywhere-all-at-once
Joram,2023,"['Drama', ' Mystery & Thriller', ' Action & Adventure', ' Crime']",7.5,,https://www.justwatch.com/in/movie/joram
Saptha Sagaradaache Ello - Side A,2023,"['Drama', ' Romance']",8.3,['Amazon Prime Video'],https://www.justwatch.com/in/movie/saptha-sagaradaache-ello
Mad,2023,"['Comedy', ' Romance', ' Drama']",7.5,['Netflix'],https://www.justwatch.com/in/movie/mad-2023
