Title,Release Year,Genre,IMDB Rating,Streaming Platform,Page URL
Chamak,2023,"['Mystery & Thriller', ' Crime', ' Drama']",9.2,['Sony Liv'],https://www.justwatch.com/in/tv-show/chamak
The Messiah,2023,"['Mystery & Thriller', ' Drama']",8.1,,https://www.justwatch.com/in/tv-show/la-mesias
Wednesday,2022,"['Science-Fiction', ' Mystery & Thriller', ' Comedy', ' Crime', ' Fantasy', ' Kids & Family', ' Horror']",8.1,['Netflix'],https://www.justwatch.com/in/tv-show/wednesday
Bodies,2023,"['Science-Fiction', ' Drama', ' Mystery & Thriller', ' Crime', ' History']",7.4,['Netflix'],https://www.justwatch.com/in/tv-show/bodies
Spy x Family,2022,"['Action & Adventure', ' Comedy', ' Mystery & Thriller', ' Animation']",8.4,"['Netflix', 'Crunchyroll']",https://www.justwatch.com/in/tv-show/spy-x-family
The Man Who Fell to Earth,2022,"['Science-Fiction', ' Drama', ' Mystery & Thriller']",7.3,"['Voot', 'Jio Cinema']",https://www.justwatch.com/in/tv-show/the-man-who-fell-to-earth
Tokyo Revengers,2021,"['Animation', ' Action & Adventure', ' Drama', ' Crime']",7.9,"['Crunchyroll', 'Hotstar']",https://www.justwatch.com/in/tv-show/tokyo-revengers
Yu Yu Hakusho,2023,"['Drama', ' Science-Fiction', ' Action & Adventure', ' Comedy', ' Fantasy']",7.3,['Netflix'],https://www.justwatch.com/in/tv-show/yu-yu-hakusho-2023
1670,2023,"['Comedy', ' History', ' Drama']",8.0,['Netflix'],https://www.justwatch.com/in/tv-show/1670
The Summer I Turned Pretty,2022,"['Drama', ' Romance']",7.3,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-summer-i-turned-pretty
All the Light We Cannot See,2023,"['War & Military', ' Drama', ' History']",7.5,['Netflix'],https://www.justwatch.com/in/tv-show/all-the-light-we-cannot-see
Fellow Travelers,2023,"['Drama', ' Romance']",8.0,,https://www.justwatch.com/in/tv-show/fellow-travelers
Crash Course,2022,['Drama'],7.3,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/crash-course
Halo,2022,"['Science-Fiction', ' Action & Adventure', ' Mystery & Thriller', ' War & Military']",7.2,"['Voot', 'Jio Cinema']",https://www.justwatch.com/in/tv-show/halo
Bad Surgeon: Love Under the Knife,2023,"['Documentary', ' Crime', ' History']",7.2,['Netflix'],https://www.justwatch.com/in/tv-show/bad-surgeon-love-under-the-knife
The Fall of the House of Usher,2023,"['Drama', ' Horror', ' Crime', ' Mystery & Thriller']",7.9,['Netflix'],https://www.justwatch.com/in/tv-show/the-fall-of-the-house-of-usher
Sultan of Delhi,2023,"['Action & Adventure', ' Drama']",7.2,['Hotstar'],https://www.justwatch.com/in/tv-show/sultan-of-delhi
Mayor of Kingstown,2021,"['Drama', ' Crime', ' Mystery & Thriller']",8.2,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/mayor-of-kingstown
Lessons in Chemistry,2023,['Drama'],8.3,['Apple TV Plus'],https://www.justwatch.com/in/tv-show/lessons-in-chemistry
P.I. Meena,2023,"['Mystery & Thriller', ' Crime']",7.1,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/p-i-meena
Poker Face,2023,"['Mystery & Thriller', ' Crime', ' Comedy', ' Drama']",7.9,['Jio Cinema'],https://www.justwatch.com/in/tv-show/poker-face
Guns & Gulaabs,2023,"['Comedy', ' Drama', ' Romance', ' Mystery & Thriller', ' Crime']",7.7,['Netflix'],https://www.justwatch.com/in/tv-show/guns-and-gulaabs
All of Us Are Dead,2022,"['Science-Fiction', ' Action & Adventure', ' Drama', ' Fantasy', ' Horror', ' Mystery & Thriller']",7.5,['Netflix'],https://www.justwatch.com/in/tv-show/all-of-us-are-dead
Mumbai Diaries,2021,"['Mystery & Thriller', ' Drama']",8.6,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/mumbai-diaries-26-11
"Saas, Bahu Aur Flamingo",2023,"['Drama', ' Action & Adventure', ' Crime']",7.7,['Hotstar'],https://www.justwatch.com/in/tv-show/saas-bahu-aur-flamingo
The Night Agent,2023,"['Mystery & Thriller', ' Action & Adventure', ' Drama']",7.5,['Netflix'],https://www.justwatch.com/in/tv-show/the-night-agent
Bambai Meri Jaan,2023,"['Action & Adventure', ' Crime', ' Drama']",7.4,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/bambai-meri-jaan
